ID Cliente,Zona,País,Tipo de producto,Canal de venta,Prioridad,Fecha pedido,ID Pedido,Fecha envío,Unidades,Precio Unitario,Coste unitario,Importe venta total,Importe Coste total,Estado del pedido,Método de pago,Descuento aplicado,Número de seguimiento,Hora del pedido,Tipo de envío
C2421,Europa,United Kingdom,MINI HERE,Offline,Crítica,10/12/2020,242113196,11/30/2020,5530,152.58,97.44,843767.4,538843.2,Procesando,Tarjeta de crédito,5%,AB123456789CD,1:23,Envío urgente
C1908,Europa,Malta,MINI HERE,Online,Alta,1/26/2020,190800607,1/28/2020,994,421.89,364.69,419358.66,362501.86,Entregado,PayPal,10%,EF987654321GH,12:45,Envío económico
C7652,Australia y Oceanía,Marshall Islands,MINI HERE,Online,Crítica,11/9/2020,765228068,11/21/2020,6845,205.7,117.11,1408016.5,801617.95,Devuelto,Transferencia bancaria,15%,IJ123789456KL,3:12,Envío express
C2326,África,Iran,MINI HERE,Offline,Baja,8/21/2021,232631909,10/2/2021,9806,9.33,6.92,91489.98,67857.52,Procesando,Tarjeta de débito,20%,MN789456123OP,22:30,Envío a domicilio
C5305,Centroamérica y Caribe,Guatemala,MINI HERE,Offline,Media,9/30/2022,530560958,11/12/2022,3633,255.28,159.42,927432.24,579172.86,Enviado,Efectivo,25%,QR456123789ST,9:15,Envío estándar
C5168,Centroamérica y Caribe,Grenada,MINI HERE,Offline,Baja,1/21/2022,516876542,2/21/2022,4110,47.45,31.79,195019.5,130656.9,Enviado,Tarjeta de crédito,30%,UV987123654WX,17:40,Envío internacional
C9197,Australia y Oceanía,Fiji,MINI HERE,Offline,Media,2/17/2022,919752490,2/27/2022,4056,152.58,97.44,618864.48,395216.64,Entregado,PayPal,35%,YZ654789123AB,8:55,Envío seguro
C2876,África,Tunisia ,MINI HERE,Offline,Media,3/21/2020,287675130,5/7/2020,8319,437.2,263.33,3637066.8,2190642.27,Pendiente,Transferencia bancaria,40%,CD321654987EF,20:10,Envío express
C8394,Centroamérica y Caribe,Grenada,MINI HERE,Offline,Crítica,2/13/2021,839443290,4/1/2021,8779,81.73,56.67,717507.67,497505.93,Enviado,Tarjeta de débito,45%,GH789123456IJ,4:38,Envío nacional
C8141,Australia y Oceanía,Australia,MINI HERE,Online,Media,6/15/2021,814168298,7/12/2021,9347,651.21,524.96,6086859.87,4906801.12,Cancelado,Efectivo,50%,KL456987123MN,14:20,Envío prioritario
